accion	origen	destino	motivo
MOVIDO	emu/ROMS/ATARI2600/Cat Trax (NA).png	emu/MEDIA/ATARI2600/Cat Trax (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Cathouse Blues (NA).png	emu/MEDIA/ATARI2600/Cathouse Blues (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Centipede (NA).png	emu/MEDIA/ATARI2600/Centipede (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Challenge (NA).png	emu/MEDIA/ATARI2600/Challenge (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Championship Soccer (NA).png	emu/MEDIA/ATARI2600/Championship Soccer (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Chase the Chuck Wagon (NA).png	emu/MEDIA/ATARI2600/Chase the Chuck Wagon (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Checkers (NA).png	emu/MEDIA/ATARI2600/Checkers (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/China Syndrome (NA).png	emu/MEDIA/ATARI2600/China Syndrome (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Chopper Command (NA).png	emu/MEDIA/ATARI2600/Chopper Command (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Chuck Norris Superkicks (NA).png	emu/MEDIA/ATARI2600/Chuck Norris Superkicks (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Circus Atari (NA).png	emu/MEDIA/ATARI2600/Circus Atari (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Coco Nuts (NA).png	emu/MEDIA/ATARI2600/Coco Nuts (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Codebreaker (NA).png	emu/MEDIA/ATARI2600/Codebreaker (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Colors (Prototype).png	emu/MEDIA/ATARI2600/Colors (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Combat (NA).png	emu/MEDIA/ATARI2600/Combat (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Combat Two (Prototype).png	emu/MEDIA/ATARI2600/Combat Two (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Commando (NA).png	emu/MEDIA/ATARI2600/Commando (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Commando Raid (NA).png	emu/MEDIA/ATARI2600/Commando Raid (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Communist Mutants from Space (NA).png	emu/MEDIA/ATARI2600/Communist Mutants from Space (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Condor Attack (NA).png	emu/MEDIA/ATARI2600/Condor Attack (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Confrontation (Prototype).png	emu/MEDIA/ATARI2600/Confrontation (Prototype).png	carátula a MEDIA
