accion	origen	destino	motivo
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 (1986)(Elite)[h BAM].prg	emu/EXTRAS/C64-PRG-variantes/#/1942 (1986)(Elite)[h BAM].prg	variante de 1942 (1986)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 (1986)(Elite)[h DCS].prg	emu/EXTRAS/C64-PRG-variantes/#/1942 (1986)(Elite)[h DCS].prg	variante de 1942 (1986)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 (1986)(Elite)[h FCS].prg	emu/EXTRAS/C64-PRG-variantes/#/1942 (1986)(Elite)[h FCS].prg	variante de 1942 (1986)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 (1986)(Elite)[h MHI].prg	emu/EXTRAS/C64-PRG-variantes/#/1942 (1986)(Elite)[h MHI].prg	variante de 1942 (1986)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 - Disk Version (1986)(Elite)[a].prg	emu/ROMS/C64/PRG/#/1942 - Disk Version (1986)(Elite)[a].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 - Re-Release (1986)(Elite).prg	emu/ROMS/C64/PRG/#/1942 - Re-Release (1986)(Elite).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1943 - One Year After (1987)(Elite).prg	emu/ROMS/C64/PRG/#/1943 - One Year After (1987)(Elite).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1943 - One Year After (1987)(Elite)[a].prg	emu/EXTRAS/C64-PRG-variantes/#/1943 - One Year After (1987)(Elite)[a].prg	variante de 1943 - One Year After (1987)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1943 - One Year After (1987)(Elite)[cr MHI].prg	emu/EXTRAS/C64-PRG-variantes/#/1943 - One Year After (1987)(Elite)[cr MHI].prg	variante de 1943 - One Year After (1987)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1943 - One Year After (1987)(Elite)[cr WCC].prg	emu/EXTRAS/C64-PRG-variantes/#/1943 - One Year After (1987)(Elite)[cr WCC].prg	variante de 1943 - One Year After (1987)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1943 - One Year After (1987)(Elite)[h Triad].prg	emu/EXTRAS/C64-PRG-variantes/#/1943 - One Year After (1987)(Elite)[h Triad].prg	variante de 1943 - One Year After (1987)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1943 - The Battle of Midway (1988)(Capcom).prg	emu/ROMS/C64/PRG/#/1943 - The Battle of Midway (1988)(Capcom).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1943 - The Battle of Midway (1988)(Capcom)[cr Ikari][t +2 Ikari].prg	emu/EXTRAS/C64-PRG-variantes/#/1943 - The Battle of Midway (1988)(Capcom)[cr Ikari][t +2 Ikari].prg	variante de 1943 - The Battle of Midway (1988)(Capcom).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1943 - The Battle of Midway (1988)(Capcom)[cr MHI].prg	emu/EXTRAS/C64-PRG-variantes/#/1943 - The Battle of Midway (1988)(Capcom)[cr MHI].prg	variante de 1943 - The Battle of Midway (1988)(Capcom).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1943 - The Battle of Midway (1988)(Capcom)[h DOM].prg	emu/EXTRAS/C64-PRG-variantes/#/1943 - The Battle of Midway (1988)(Capcom)[h DOM].prg	variante de 1943 - The Battle of Midway (1988)(Capcom).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1943 - The Battle of Midway (1988)(Capcom)[h NEC+Crazy].prg	emu/EXTRAS/C64-PRG-variantes/#/1943 - The Battle of Midway (1988)(Capcom)[h NEC+Crazy].prg	variante de 1943 - The Battle of Midway (1988)(Capcom).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1943 - The Battle of Midway (1988)(Capcom)[h Triangle][t +2 Triangle].prg	emu/EXTRAS/C64-PRG-variantes/#/1943 - The Battle of Midway (1988)(Capcom)[h Triangle][t +2 Triangle].prg	variante de 1943 - The Battle of Midway (1988)(Capcom).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1944 (1988)(-)[cr MHI].prg	emu/ROMS/C64/PRG/#/1944 (1988)(-)[cr MHI].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1944 (1988)(Criminal Empire).prg	emu/ROMS/C64/PRG/#/1944 (1988)(Criminal Empire).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1944 (1988)(Criminal Empire)[h MCG].prg	emu/EXTRAS/C64-PRG-variantes/#/1944 (1988)(Criminal Empire)[h MCG].prg	variante de 1944 (1988)(Criminal Empire).prg
