accion	origen	destino	motivo
MOVIDO	emu/dos/Alone in the Dark.zip	emu/ORIGINALES/DOS/Alone in the Dark.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alone in the Dark/
EXTRAIDO	emu/dos/Alter Ego - Female.zip	emu/ROMS/DOS/Alter Ego - Female/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/Alter Ego - Female.conf	lanzador de dosbox_svn (dudoso: ALTEREGO.BAT)
MOVIDO	emu/dos/Alter Ego - Female.zip	emu/ORIGINALES/DOS/Alter Ego - Female.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alter Ego - Female/
EXTRAIDO	emu/dos/Alter Ego - Male.zip	emu/ROMS/DOS/Alter Ego - Male/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Alter Ego - Male.conf	lanzador de dosbox_svn (seguro: ALTEREGO.BAT)
MOVIDO	emu/dos/Alter Ego - Male.zip	emu/ORIGINALES/DOS/Alter Ego - Male.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alter Ego - Male/
EXTRAIDO	emu/dos/Altered Beast.zip	emu/ROMS/DOS/Altered Beast/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/Altered Beast.conf	lanzador de dosbox_svn (dudoso: BEAST.BAT)
MOVIDO	emu/dos/Altered Beast.zip	emu/ORIGINALES/DOS/Altered Beast.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Altered Beast/
EXTRAIDO	emu/dos/Altered Destiny.zip	emu/ROMS/DOS/Altered Destiny/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Altered Destiny.conf	lanzador de dosbox_svn (seguro: AD.BAT)
MOVIDO	emu/dos/Altered Destiny.zip	emu/ORIGINALES/DOS/Altered Destiny.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Altered Destiny/
EXTRAIDO	emu/dos/Alternate Reality - The City.zip	emu/ROMS/DOS/Alternate Reality - The City/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Alternate Reality - The City.conf	lanzador de dosbox_svn (seguro: altern/CITY.EXE)
MOVIDO	emu/dos/Alternate Reality - The City.zip	emu/ORIGINALES/DOS/Alternate Reality - The City.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alternate Reality - The City/
EXTRAIDO	emu/dos/Amazing Learning Games With Rayman.zip	emu/ROMS/DOS/Amazing Learning Games With Rayman/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/Amazing Learning Games With Rayman.conf	lanzador de dosbox_svn (dudoso: RAYEDU/RAYDEMO.EXE)
MOVIDO	emu/dos/Amazing Learning Games With Rayman.zip	emu/ORIGINALES/DOS/Amazing Learning Games With Rayman.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Amazing Learning Games With Rayman/
EXTRAIDO	emu/dos/Amazon - Guardians of Eden.zip	emu/ROMS/DOS/Amazon - Guardians of Eden/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Amazon - Guardians of Eden.conf	lanzador de dosbox_svn (seguro: amazong/AMAZON.EXE)
MOVIDO	emu/dos/Amazon - Guardians of Eden.zip	emu/ORIGINALES/DOS/Amazon - Guardians of Eden.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Amazon - Guardians of Eden/
EXTRAIDO	emu/dos/Amazon.zip	emu/ROMS/DOS/Amazon/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Amazon.conf	lanzador de dosbox_svn (seguro: AMZ.EXE)
